,catalog_number,object_id,occurrenceID,inst,collectionCode,family,sci_name,sciname,tidinterpreted,event_date,verbatimEventDate,year,startDayOfYear,country,state,county,municipality,locality,latitude,longitue,geodeticDatum,coordinateUncertaintyInMeters,georeferenceProtocol,georeferenceRemarks,georeferenceSources,url,order,Budding Prediction,Budding Prediction Confidence,Flowering Prediction,Flowering Prediction Confidence,Fruiting Prediction,Fruiting Prediction Confidence,Reproductive Prediction,Reproductive Prediction Confidence,Reproductive Ground Truth,Fruiting Ground Truth,Flowering Ground Truth,Budding Ground Truth
91,CONN00099941,37846,urn:catalog:UConn:CONN:CONN00099941,,CONN,Cornaceae,Cornus canadensis L.,Cornus canadensis,820403.0,25/5/1887,25 May 1887,1887.0,145.0,United States of America,Connecticut,Hartford,South Windsor,South Windsor,41.82361,-72.62111,,5000.0,,,no date. USGS Geographic Names Information System (GNIS). U. S. Geological Survey.,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00099941.jpg,Cornales,True,0.9996964931488036,False,0.7420104742050171,False,0.5716899037361145,True,0.9999382495880128,,,,
92,2502736,1903869,bba1fa7f-9102-47b4-8c9c-1bbece926c71,NY,NY,Cornaceae,Cornus amomum Mill.,Cornus amomum,820401.0,6/7/1925,7-6-25,1925.0,187.0,United States of America,New York,,,"Winfield, Long Island",,,,,,,,http://sweetgum.nybg.org/images3/1743/720/02502736.jpg,Cornales,False,0.9056832790374756,False,0.7711495757102966,True,0.9952387809753418,True,0.9999063014984132,,,,
93,395322,2036370,8dd22781-5eea-4f4b-9903-a2e04bd3de8f,University of Massachusetts,MASS,Cornaceae,Cornus canadensis L.,Cornus canadensis,820403.0,14/9/1930,,1930.0,257.0,United States of America,New Hampshire,Coos,Randolph,,44.3753376,-71.2797966,,5000.0,,,,https://bisque.cyverse.org/image_service/00-HtgR5Rw4qZnqDVKrswJeTP,Cornales,False,0.7789224982261658,True,0.9990909099578856,False,0.9982655644416808,True,0.9998986721038818,,,,
94,CONN00099909,12161,urn:catalog:UConn:CONN:CONN00099909,,CONN,Cornaceae,Cornus amomum Mill.,Cornus stolonifera,845809.0,17/7/1921,17-Jul-21,1921.0,198.0,United States of America,Rhode Island,Providence,North Smithfield,Primrose,41.95416,-71.55694,,2000.0,,,"no date. Topozone. TopoZone.com © Maps a la carte, Inc. - All rights reserved.",http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00099909.jpg,Cornales,False,0.996315062046051,False,0.9981076717376708,True,0.6442244052886963,True,0.7263215780258179,,,,
95,CCNL-05333,1122283,,,CCNL,Caryophyllaceae,,Arenaria lateriflora,851746.0,2/6/1928,,1928.0,154.0,United States of America,Connecticut,New London,Groton,,41.35785,-72.02754,WGS84,7457.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Connecticut Town Boundary vector digital data (CONNECTICUT_TOWN_BOUNDARY.shp), 2005 edition; State of Connecticut, Department of Environmental Protection, Hartford, CT (http://www.ct.gov/deep).",https://bisque.cyverse.org/image_service/00-p7NXfofYqUjbyiiEo4j2Fm,__Other,False,0.7424390316009521,True,0.9927629828453064,False,0.7420506477355957,True,0.9999048709869384,,,,
96,KIRI-06341,1359228,,,KIRI,Caryophyllaceae,,Arenaria lateriflora,851746.0,0/0/0,July 1882,1882.0,,United States of America,Maine,,,Mt. Desert,,,,,,,,https://bisque.cyverse.org/image_service/00-UtyfBqeH3h3ZeAkeMAjAEa,__Other,True,0.7051903009414673,True,0.9565185904502868,False,0.8712878823280334,True,0.9143915772438048,,,,
97,BSN-09894,1491734,,,BSN,Caryophyllaceae,,Arenaria lateriflora,851746.0,4/7/1912,,1912.0,186.0,United States of America,Maine,Washington,Cherryfield,,44.62905,-67.93435,WGS84,9076.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"GISVIEW.MEGIS.Metwp24P vector digital data (metwp24p.shp), 03/15/2013; Maine Office of Geographic Information Systems, Augusta, ME (http://www.maine.gov/megis/catalog/).",https://bisque.cyverse.org/image_service/00-8DguoJ2dDW5AvXq9YoNhqJ,__Other,False,0.7593273520469666,False,0.8442445397377014,False,0.7946501970291138,True,0.8635605573654175,,,,
98,YU.250316,824121,urn:uuid:9fc9e31b-4aa0-4dae-b292-ac22bf3b0744,YPM,YU,Caryophyllaceae,Arenaria lateriflora L.,Arenaria lateriflora,851746.0,18/6/1932,,1932.0,170.0,United States of America,Maine,,,Cape Cottage,,,,,,,,https://bisque.cyverse.org/image_service/00-ZwNKCaJ4AfTfFUq3tYmVRJ,__Other,False,0.831663191318512,True,0.8346575498580933,False,0.8768192529678345,True,0.564510703086853,,,,
99,BSN-09836,1491677,,,BSN,Caryophyllaceae,,Arenaria lateriflora,851746.0,10/6/1928,,1928.0,162.0,United States of America,Massachusetts,Essex,Rockport,Flat Point,,,,,,,,https://bisque.cyverse.org/image_service/00-kvw7gYh37MaJbjWm2gUF56,__Other,True,0.8447954654693604,True,0.9172869324684144,False,0.9183089137077332,True,0.9987032413482666,,,,
100,MAINE00036910,2103144,urn:uuid:12ea891a-ec88-4b4b-8fa0-b485e0bac57f,,MAINE,Myricaceae,Comptonia peregrina (L.) Coult.,Comptonia peregrina,820261.0,21/7/1987,1987-7-21,1987.0,202.0,United States of America,Maine,Oxford,Hiram,about 2/10 mile from Wadsworth Homestead along access road,43.86381,-70.82579,WGS84,10543.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"GISVIEW.MEGIS.Metwp24P vector digital data (metwp24p.shp), 03/15/2013; Maine Office of Geographic Information Systems, Augusta, ME (http://www.maine.gov/megis/catalog/).",https://bisque.cyverse.org/image_service/00-nC53BiTU8NWFifxHLA3Ykn,__Other,False,0.910092294216156,False,0.9536237120628356,False,0.916229784488678,True,0.9505901336669922,,,,
101,00364958,2013863,f77b59b6-fdd1-11e2-8bb4-4e51ad6f2467,University of Massachusetts,MASS,Myricaceae,Comptonia peregrina (L.) J.M. Coult.,Comptonia peregrina,820261.0,29/4/2004,,2004.0,120.0,United States of America,Massachusetts,Middlesex,Reading,South end Camp Curtis Guild along Grant St.,42.53505,-71.10557,WGS84,4037.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",https://bisque.cyverse.org/image_service/00-sNULoGdAnGNSE3NjyuGeoS,__Other,False,0.954512357711792,True,0.9564717411994934,False,0.9963651895523072,True,0.998529314994812,,,,
102,PBRU00017394,1324368,cdf86eea-8f47-4f97-9f4f-2b280d3737cc,Brown,,Myricaceae,Myrica aspleniifolia,Myrica aspleniifolia,848610.0,0/0/0,,1873.0,,United States of America,Rhode Island,,Smithfield,field,,,,,,,,https://repository.library.brown.edu/iiif/image/bdr:422017/full/full/0/default.jpg,__Other,False,0.6168051362037659,False,0.997142732143402,False,0.8972008228302002,True,0.9598989486694336,,,,
103,2456519,1844677,0eb110e8-52c9-4934-acf8-3b46e9cc9545,NY,NY,Myricaceae,Comptonia peregrina (L.) J.M.Coult.,Comptonia peregrina,820261.0,23/10/2014,23 Oct 2014,2014.0,296.0,United States of America,New York,Bronx,New York City,"The New York Botanical Garden, Native Plant Garden, northwest of gazebo structure on Garden Way",40.8632,-73.878796,,,GPS,,,http://sweetgum.nybg.org/images3/1648/965/02456519.jpg,__Other,False,0.858894944190979,False,0.999721109867096,False,0.9986207485198976,True,0.992446780204773,,,,
104,CONN00077960,19070,urn:catalog:UConn:CONN:CONN00077960,,CONN,Myricaceae,Comptonia peregrina (L.) J.Coult.,Comptonia peregrina,820261.0,19/6/2008,19-Jun-08,2008.0,171.0,United States of America,Massachusetts,Suffolk,"Boston, Jamaica Plain",Arnold Arboretum,42.29861,-71.12833,,3000.0,,,"no date. Topozone. TopoZone.com © Maps a la carte, Inc. - All rights reserved.",http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00077960.jpg,__Other,False,0.6636329889297485,False,0.987259328365326,True,0.7555029988288879,True,0.6741112470626831,,,,
105,CONN00078629,28807,urn:catalog:UConn:CONN:CONN00078629,,CONN,Sapindaceae,Acer pensylvanicum L.,Acer pensylvanicum,815694.0,30/5/1934,30-May-34,1934.0,150.0,United States of America,Connecticut,Hartford,Suffield,Suffield,41.98333,-72.69166,,20000.0,,,"no date. Topozone. TopoZone.com © Maps a la carte, Inc. - All rights reserved.",http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00078629.jpg,__Other,False,0.9669811725616456,False,0.7039993405342102,False,0.9157575964927672,True,0.999366581439972,,,,
106,00340591,1999783,028fd1c8-e8cd-4e68-b415-4c090ea336a8,University of Massachusetts,MASS,Sapindaceae,Acer spicatum Lam.,Acer spicatum,815700.0,28/7/1992,,1992.0,210.0,United States of America,Massachusetts,Berkshire,Williamstown,Pine Cobble,42.68476,-73.22833,WGS84,8663.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",https://bisque.cyverse.org/image_service/00-SABVTDy4QdYWUiatM56oqH,Sapindales,False,0.999997854232788,False,0.9997367262840272,True,0.9389033913612366,True,0.9998432397842408,,,,
107,2487467,1879255,6aaeb1bd-a3a9-4194-8365-6bdca175f19e,NY,NY,Sapindaceae,Acer pensylvanicum L.,Acer pensylvanicum,815694.0,11/6/1970,6/11/70,1970.0,162.0,United States of America,New York,Tompkins,Ithaca,"In Cascadilla Gorge, Cornell University",42.4406,-76.496608,WGS84,3509.0,GEOLocate Web Application,Georeferenced to the city of Ithaca.,GEOLocate (Tulane University Museum of Natural History),http://sweetgum.nybg.org/images3/1743/288/02487467.jpg,Sapindales,False,0.9926856756210328,False,0.9996650218963624,True,0.9993284940719604,True,0.9998990297317504,,,,
108,YU.057731,92437,urn:uuid:da68db8c-fcea-4f92-a573-6d6cc13c60f2,YPM,YU,Sapindaceae,Acer pensylvanicum L.,Acer pensylvanicum,815694.0,20/5/1915,,1915.0,140.0,United States of America,Connecticut,Litchfield,Salisbury,,41.986,-73.4257,WGS84,9878.0,,,,http://deliver.odai.yale.edu/content/repository/YPM/id/207964/format/3,Sapindales,False,0.9817324280738832,True,0.9741170406341552,False,0.994244396686554,True,0.9621439576148988,,,,
109,2487331,1883093,77593c90-6b5e-4f6c-9e0b-49fdfd4d5363,NY,NY,Sapindaceae,Acer pensylvanicum L.,Acer pensylvanicum,815694.0,13/10/1975,13 Oct 1975,1975.0,286.0,United States of America,New York,,,Fahnstock State Park,41.4515,-73.819578,WGS84,2289.0,GEOLocate Web Application,Georeferenced to the Clarence Fahnestock Memorial State Park.,GEOLocate (Tulane University Museum of Natural History),http://sweetgum.nybg.org/images3/1763/031/02487331.jpg,Sapindales,False,0.9678107500076294,False,0.9980022311210632,False,0.9999560117721558,False,0.9877628087997437,,,,
110,CONN00057471,66829,urn:catalog:UConn:CONN:CONN00057471,,CONN,Papaveraceae,Sanguinaria canadensis L.,Sanguinaria canadensis,831711.0,14/4/1895,14 Apr 1895,1895.0,104.0,United States of America,Connecticut,Hartford,"Wethersfield, Newington",Cedar Mountain,41.7175,-72.70416,,5000.0,,,"no date. Topozone. TopoZone.com © Maps a la carte, Inc. - All rights reserved.",http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00057471.jpg,__Other,False,0.9805945754051208,True,0.9952288866043092,False,0.995519995689392,True,0.9702485799789428,,,,
111,CONN00076662,27770,urn:catalog:UConn:CONN:CONN00076662,,CONN,Papaveraceae,Sanguinaria canadensis L.,Sanguinaria canadensis,831711.0,26/4/1975,26-Apr-75,1975.0,116.0,United States of America,Connecticut,Tolland,Mansfield,Mansfield,41.78833,-72.22888,,5000.0,,,"no date. Topozone. TopoZone.com © Maps a la carte, Inc. - All rights reserved.",http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00076662.jpg,__Other,False,0.9784356355667114,False,0.7858846187591553,True,0.6084523797035217,True,0.9997155070304872,,,,
112,363483,2045716,88656e81-19fe-4f18-a311-14369a8e6fa3,University of Massachusetts,MASS,Papaveraceae,Sanguinaria canadensis L.,Sanguinaria canadensis,831711.0,30/4/1904,,1904.0,121.0,United States of America,Vermont,Rutland,Rutland,na,43.624,-72.97802,WGS84,6494.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Boundary_BNDHASH_region_towns vector digital data, 2012-02-16 AND Boundary_BNDHASH_region_villages vector digital data, 2012-12-04; Vermont Center for Geographic Information, Waterbury, Vt (http://http://vcgi.vermont.gov/).",https://bisque.cyverse.org/image_service/00-G26LZRc2YAYVV7XWEN3qDS,__Other,False,0.987176477909088,True,0.9977638721466064,False,0.9930065870285034,True,0.995163083076477,,,,
113,MAINE00038596,2104755,urn:uuid:9065f7d5-f080-4094-811f-f74af3393f99,,MAINE,Papaveraceae,Sanguinaria canadensis L.,Sanguinaria canadensis,831711.0,6/6/1939,1939-6-6,1939.0,157.0,United States of America,Maine,Aroostook,Washburn,,46.79327,-68.11687,WGS84,6792.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"GISVIEW.MEGIS.Metwp24P vector digital data (metwp24p.shp), 03/15/2013; Maine Office of Geographic Information Systems, Augusta, ME (http://www.maine.gov/megis/catalog/).",https://bisque.cyverse.org/image_service/00-rwjnxt4W5J5m2Xv7pnEnVd,__Other,False,0.9858227372169496,False,0.9942198991775512,False,0.974806308746338,False,0.5659679174423218,,,,
114,363461,2025251,1266f192-f0fb-448a-9b4e-023d6db1679b,University of Massachusetts,MASS,Papaveraceae,Sanguinaria canadensis L.,Sanguinaria canadensis,831711.0,4/6/1979,,1979.0,155.0,United States of America,Massachusetts,Hampshire,Northampton,na,42.32664,-72.67454,WGS84,7473.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",https://bisque.cyverse.org/image_service/00-FD2ReXA84smsxLZ9k5SvTo,__Other,False,0.9956371188163756,False,0.9990286827087402,True,0.5289897918701172,False,0.520146906375885,,,,
115,2465706,1871516,511918e2-8f5c-4035-b072-0f55f5a5b2be,NY,NY,Ulmaceae,Ulmus americana L.,Ulmus americana,834047.0,6/4/1894,06 Apr 1894,1894.0,96.0,United States of America,Massachusetts,Norfolk,Wellesley,,,,,,,,,http://sweetgum.nybg.org/images3/1678/389/02465706.jpg,__Other,False,0.9986661672592164,True,0.7793485522270203,False,0.9993484616279602,True,0.9919034838676452,,,,
116,00310774,2038566,f8156945-fdd1-11e2-8bb4-4e51ad6f2467,University of Massachusetts,MASS,Ulmaceae,Ulmus americana L.,Ulmus americana,834047.0,12/5/1926,,1926.0,132.0,United States of America,Massachusetts,Hampden,Chicopee,"mud-flats of the Chicopee River, Chicopee Falls",42.17638,-72.57186,WGS84,7140.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",https://bisque.cyverse.org/image_service/00-ro6EGZcdu47BH49Y3Xnw67,__Other,False,0.9216910600662231,False,0.9004982709884644,False,0.9233772158622742,True,0.9900711178779602,,,,
117,00315179,2043454,f93fe1ae-fdd1-11e2-8bb4-4e51ad6f2467,University of Massachusetts,MASS,Ulmaceae,Ulmus americana L.,Ulmus americana,834047.0,29/6/2007,,2007.0,180.0,United States of America,Massachusetts,Hampshire,South Hadley,Headwater of Elmer Brook.,42.2982803606401,-72.5447020316188,,200.0,,,,https://bisque.cyverse.org/image_service/00-Gbd2vcnv852LZATrom4YdQ,__Other,False,0.9935348033905028,False,0.9987385869026184,False,0.997284173965454,False,0.9915567636489868,,,,
118,CONN00140020,356083,urn:catalog:UConn:CONN:CONN00140020,,CONN,Ulmaceae,Ulmus americana L.,Ulmus americana,834047.0,19/6/2011,19-Jun-11,2011.0,170.0,United States of America,Rhode Island,Kent,Coventry,Waterman Pond,41.715,-71.72944,,5000.0,,,no date. USGS Geographic Names Information System (GNIS). U. S. Geological Survey.,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00140020.jpg,__Other,False,0.9621670246124268,False,0.9800575971603394,False,0.9397626519203186,False,0.9733681082725524,,,,
119,00314099,1993658,b328fa69-9446-4212-80c2-f2e2ee19a034,University of Massachusetts,MASS,Ulmaceae,Ulmus americana L.,Ulmus americana,834047.0,,,,,unknown,,,,Not Given,,,,,,,,https://bisque.cyverse.org/image_service/00-RSMmcRebXdjtpTuNBCWtW6,__Other,False,0.934775412082672,True,0.9999953508377076,False,0.9889790415763856,True,0.9928213953971864,,,,
120,00365223,2031739,f3f45614-fdd1-11e2-8bb4-4e51ad6f2467,University of Massachusetts,MASS,Tiliaceae,Tilia americana L.,Tilia americana,833572.0,17/6/1996,,1996.0,169.0,United States of America,Massachusetts,Worcester,Worcester,"Poor Farm Brook E of Garrison Ave. and Tacoma St., SW of E Mountain St., W of Northeast Cutoff",42.27054,-71.80794,WGS84,8059.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",https://bisque.cyverse.org/image_service/00-PrN4SJKMCa68Gwj8BjDzaC,__Other,True,0.5359013080596924,False,0.6972476243972778,False,0.6605235934257507,True,0.9949297308921814,,,,
121,00316481,2011998,fc95dd43-fdd1-11e2-8bb4-4e51ad6f2467,University of Massachusetts,MASS,Tiliaceae,Tilia americana L.,Tilia americana,833572.0,23/6/1984,,1984.0,175.0,United States of America,Massachusetts,Franklin,Sunderland,"Sunderland Caves, north end of the range",42.46511,-72.55462,WGS84,5727.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",https://bisque.cyverse.org/image_service/00-iFWQdjxcpMSAzfwaju6N9f,__Other,False,0.9147621989250184,False,0.9733232855796814,False,0.9999337196350098,False,0.9953365921974182,,,,
122,00365222,2005528,f4e2ab40-fdd1-11e2-8bb4-4e51ad6f2467,University of Massachusetts,MASS,Tiliaceae,Tilia americana L.,Tilia americana,833572.0,22/6/1998,,1998.0,173.0,United States of America,Massachusetts,Hampden,Holyoke,East Mountain talus slope on western side of valley betweeen en echelon traprock ridges south of Cherry St extension; north of beacon,42.21252,-72.64111,WGS84,8525.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",https://bisque.cyverse.org/image_service/00-6sszWkkM3QaufBqAxpZSuU,__Other,False,0.9797734618186952,True,0.99899560213089,False,0.8949621319770813,True,0.8733102679252625,,,,
123,00327481,2076566,ff2e48af-fdd1-11e2-8bb4-4e51ad6f2467,University of Massachusetts,MASS,Tiliaceae,Tilia americana var. americana,Tilia americana var. americana,841968.0,10/7/2006,,2006.0,191.0,United States of America,Massachusetts,Worcester,Harvard,east side of Nashua River between Bolton town line and Still River,42.5059,-71.5853,WGS84,7167.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",https://bisque.cyverse.org/image_service/00-ucaKYnZgEf5u9tB4ydEK8b,__Other,True,0.6839475035667419,True,0.9951753616333008,False,0.9756794571876526,True,0.9996485710144044,,,,
124,00311166,2044226,f8505fcf-fdd1-11e2-8bb4-4e51ad6f2467,University of Massachusetts,MASS,Tiliaceae,Tilia americana L.,Tilia americana,833572.0,11/5/2005,,2005.0,131.0,United States of America,Massachusetts,Hampshire,Amherst,At the first talus slope on Metacomet-Monadnock Trail from the Notch Visitor's Center to Bare Mt.,42.302551635465,-72.5293601214501,,200.0,,,,https://bisque.cyverse.org/image_service/00-NNviHFYao5fnoHsugoBTZR,__Other,False,0.986251413822174,False,0.9998125433921814,False,0.9790177941322328,False,0.8627381324768066,,,,
125,MAINE00036565,2102831,urn:uuid:cae7e3cc-3d64-415a-9225-d3c3b8ac7ea8,,MAINE,Lentibulariaceae,Utricularia vulgaris ssp. macrorhiza (Le Conte) Clausen,Utricularia vulgaris subsp. macrorhiza,,23/7/1949,1949-7-23,1949.0,204.0,United States of America,Maine,Waldo,Liberty,n. end Stevens Pond,44.36714,-69.3403,WGS84,7065.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"GISVIEW.MEGIS.Metwp24P vector digital data (metwp24p.shp), 03/15/2013; Maine Office of Geographic Information Systems, Augusta, ME (http://www.maine.gov/megis/catalog/).",https://bisque.cyverse.org/image_service/00-zvm9tQypwYecosZKSM5Hx,__Other,False,0.9256023168563844,False,0.7576853036880493,False,0.9466794729232788,False,0.9340372085571288,,,,
126,CONN00071968,25971,urn:catalog:UConn:CONN:CONN00071968,,CONN,Lentibulariaceae,Utricularia vulgaris L.,Utricularia vulgaris,859519.0,31/8/1998,31-Aug-98,1998.0,243.0,United States of America,Connecticut,New Haven,"Guilford, North Guilford",Quonnipaug Lake,41.39138,-72.6975,,4000.0,,,no date. USGS Geographic Names Information System (GNIS). U. S. Geological Survey.,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00071968.jpg,__Other,False,0.675783097743988,False,0.8062158823013306,False,0.9699703454971312,False,0.9222851991653442,,,,
127,CONN00055037,65806,urn:catalog:UConn:CONN:CONN00055037,,CONN,Lentibulariaceae,Utricularia macrorhiza J.LeConte,Utricularia geminiscapa,834093.0,27/8/1998,27-Aug-98,1998.0,239.0,United States of America,Connecticut,New London,Preston,Avery Pond,41.49388,-71.98,,1000.0,,,no date. USGS Geographic Names Information System (GNIS). U. S. Geological Survey.,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00055037.jpg,__Other,True,0.7068749070167542,False,0.9677724242210388,False,0.8712142109870911,False,0.938196063041687,,,,
128,CONN00055192,65914,urn:catalog:UConn:CONN:CONN00055192,,CONN,Lentibulariaceae,Utricularia macrorhiza J.LeConte,Utricularia vulgaris,859519.0,6/9/1995,6 Sep 1995,1995.0,249.0,United States of America,Connecticut,New London,Voluntown,Beachdale Pond,41.57861,-71.8625,,1000.0,,,no date. USGS Geographic Names Information System (GNIS). U. S. Geological Survey.,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00055192.jpg,__Other,False,0.7940818667411804,False,0.8390222191810608,False,0.973638653755188,False,0.8652929067611694,,,,
129,00322226,2002490,fe8ffc1d-fdd1-11e2-8bb4-4e51ad6f2467,University of Massachusetts,MASS,Lentibulariaceae,Utricularia vulgaris ssp. macrorhiza,Utricularia vulgaris ssp. macrorhiza,864094.0,21/8/2010,,2010.0,233.0,United States of America,Massachusetts,Worcester,Boylston,Wachusett Reservoir soith of Dover Point,42.35633,-71.72123,WGS84,6002.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",https://bisque.cyverse.org/image_service/00-9ytoAZQRb9oSefkMQZasJT,__Other,False,0.9867908358573914,False,0.9977757334709167,False,0.9967212080955504,False,0.9859112501144408,,,,
130,UVMVT095133,736289,urn:uuid:92e0c19b-64ad-4c94-a2ce-9e77e7c315fb,,,Lauraceae,,Sassafras albidum,831779.0,16/8/1906,1906-8-16,1906.0,228.0,United States of America,Rhode Island,Washington,Richmond,,41.49834,-71.66071,WGS84,9170.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Municipalities; s44btp88 vector digital data, 1989-07; RIGIS, Providence, Rhode Island (http://www.edc.uri.edu/rigis).",https://bisque.cyverse.org/image_service/00-7zn5uxVmkV5gn4gZR9fKmN,__Other,False,0.9926543235778807,False,0.9989792704582214,False,0.8945863842964172,False,0.949167788028717,,,,
131,UVMVT065939,736282,urn:uuid:30176a2c-6ea9-48d7-bb7f-855cae476076,,,Lauraceae,,Sassafras albidum,831779.0,27/8/1962,1962-8-27,1962.0,239.0,United States of America,Massachusetts,Bristol,Easton,,42.03621,-71.1103,WGS84,7320.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",https://bisque.cyverse.org/image_service/00-UhZnYMpgDBNmjxmKYmACQd,__Other,False,0.992502212524414,False,0.999056875705719,True,0.8766770362854004,True,0.9662758708000184,,,,
132,2511797,1912216,d6f3abca-ec0d-40db-b62a-7a2ab4b95489,NY,NY,Lauraceae,Sassafras albidum (Nutt.) Nees,Sassafras albidum,831779.0,,,,,United States of America,New York,Yates,Penn Yan,,,,,,,,,http://sweetgum.nybg.org/images3/1970/166/02511797.jpg,__Other,False,0.979592502117157,False,0.5121991634368896,False,0.8851221799850464,True,0.9910674691200256,,,,
133,1088073,1869980,4c2cf45c-75c6-4218-8b49-3310cc89bdfd,NY,NY,Lauraceae,Sassafras albidum (Nutt.) Nees,Sassafras albidum,831779.0,24/4/2009,24 Apr 2009,2009.0,114.0,United States of America,New York,Bronx,,ca 30 m east of the Bronx River and 2-10 m N of the eastern end of the Snuff Mill Bridge and road,40.8591,-73.8759739,,,,Coordinates and elevation from hand-held gps and digital world map; plant collected within a radius of ca 5 m,,http://sweetgum.nybg.org/images3/1785/842/01088073.jpg,__Other,False,0.9985565543174744,False,0.6545964479446411,False,0.9888985753059388,True,0.977517306804657,,,,
134,barcode-00683182,936152,0add0088-9496-4c81-befb-b607fcb1f8be,NEBC,,Lauraceae,Sassafras albidum (Nuttall) Nees,Sassafras albidum,831779.0,27/8/1964,"August 27, 1964",1964.0,240.0,United States of America,Rhode Island,Bristol County,Warren,Warren,41.72539,-71.26317,WGS84,4362.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Municipalities; s44btp88 vector digital data, 1989-07; RIGIS, Providence, Rhode Island (http://www.edc.uri.edu/rigis).",https://bisque.cyverse.org/image_service/00-RKSYdF82qVHMQicCZERebZ,__Other,False,0.999537467956543,False,0.9821309447288512,True,0.9511201977729796,True,0.9984537363052368,,,,
